,North Korea,Somalia,Afghanistan,Sudan,South Sudan,Iraq,Turkmenistan,Libya,Uzbekistan,Haiti,Venezuela,Yemen,Angola,Myanmar,Guinea-Bissau,Burundi,Eritrea,Syria,Chad,Zimbabwe,Cambodia,Democratic Republic of Congo,Tajikistan,Congo,Laos,Guinea,Central African Republic,Papua New Guinea,Paraguay,Bangladesh,Kyrgyzstan,Kenya,Ukraine,Cameroon,Nigeria,Uganda,Iran,Comoros,Kazakhstan,Nicaragua,Russia,Azerbaijan,Lebanon,Guyana,Honduras,Nepal,Pakistan,Madagascar,Gambia
North Korea,,,1.75,3.75,6.666666667,8.5,9.25,9.5,9.75,10.5,10.75,11.5,11.75,11.75,12,12.25,12.25,12.25,12.5,12.75,13,13.75,15.25,15.5,16.25,16.5,16.75,17,17,17.75,17.75,18,18,18.25,18.25,18.5,18.75,19,19.75,20,20,20.25,20.25,20.5,20.5,20.5,20.5,21,21.75
Somalia,,,1.75,3.75,6.666666667,8.5,9.25,9.5,9.75,10.5,10.75,11.5,11.75,11.75,12,12.25,12.25,12.25,12.5,12.75,13,13.75,15.25,15.5,16.25,16.5,16.75,17,17,17.75,17.75,18,18,18.25,18.25,18.5,18.75,19,19.75,20,20,20.25,20.25,20.5,20.5,20.5,20.5,21,21.75
Afghanistan,1.75,1.75,,2,4.916666667,6.75,7.5,7.75,8,8.75,9,9.75,10,10,10.25,10.5,10.5,10.5,10.75,11,11.25,12,13.5,13.75,14.5,14.75,15,15.25,15.25,16,16,16.25,16.25,16.5,16.5,16.75,17,17.25,18,18.25,18.25,18.5,18.5,18.75,18.75,18.75,18.75,19.25,20
Sudan,3.75,3.75,2,,2.916666667,4.75,5.5,5.75,6,6.75,7,7.75,8,8,8.25,8.5,8.5,8.5,8.75,9,9.25,10,11.5,11.75,12.5,12.75,13,13.25,13.25,14,14,14.25,14.25,14.5,14.5,14.75,15,15.25,16,16.25,16.25,16.5,16.5,16.75,16.75,16.75,16.75,17.25,18
South Sudan,6.666666667,6.666666667,4.916666667,2.916666667,,1.833333333,2.583333333,2.833333333,3.083333333,3.833333333,4.083333333,4.833333333,5.083333333,5.083333333,5.333333333,5.583333333,5.583333333,5.583333333,5.833333333,6.083333333,6.333333333,7.083333333,8.583333333,8.833333333,9.583333333,9.833333333,10.08333333,10.33333333,10.33333333,11.08333333,11.08333333,11.33333333,11.33333333,11.58333333,11.58333333,11.83333333,12.08333333,12.33333333,13.08333333,13.33333333,13.33333333,13.58333333,13.58333333,13.83333333,13.83333333,13.83333333,13.83333333,14.33333333,15.08333333
Iraq,8.5,8.5,6.75,4.75,1.833333333,,0.75,1,1.25,2,2.25,3,3.25,3.25,3.5,3.75,3.75,3.75,4,4.25,4.5,5.25,6.75,7,7.75,8,8.25,8.5,8.5,9.25,9.25,9.5,9.5,9.75,9.75,10,10.25,10.5,11.25,11.5,11.5,11.75,11.75,12,12,12,12,12.5,13.25
Turkmenistan,9.25,9.25,7.5,5.5,2.583333333,0.75,,0.25,0.5,1.25,1.5,2.25,2.5,2.5,2.75,3,3,3,3.25,3.5,3.75,4.5,6,6.25,7,7.25,7.5,7.75,7.75,8.5,8.5,8.75,8.75,9,9,9.25,9.5,9.75,10.5,10.75,10.75,11,11,11.25,11.25,11.25,11.25,11.75,12.5
Libya,9.5,9.5,7.75,5.75,2.833333333,1,0.25,,0.25,1,1.25,2,2.25,2.25,2.5,2.75,2.75,2.75,3,3.25,3.5,4.25,5.75,6,6.75,7,7.25,7.5,7.5,8.25,8.25,8.5,8.5,8.75,8.75,9,9.25,9.5,10.25,10.5,10.5,10.75,10.75,11,11,11,11,11.5,12.25
Uzbekistan,9.75,9.75,8,6,3.083333333,1.25,0.5,0.25,,0.75,1,1.75,2,2,2.25,2.5,2.5,2.5,2.75,3,3.25,4,5.5,5.75,6.5,6.75,7,7.25,7.25,8,8,8.25,8.25,8.5,8.5,8.75,9,9.25,10,10.25,10.25,10.5,10.5,10.75,10.75,10.75,10.75,11.25,12
Haiti,10.5,10.5,8.75,6.75,3.833333333,2,1.25,1,0.75,,0.25,1,1.25,1.25,1.5,1.75,1.75,1.75,2,2.25,2.5,3.25,4.75,5,5.75,6,6.25,6.5,6.5,7.25,7.25,7.5,7.5,7.75,7.75,8,8.25,8.5,9.25,9.5,9.5,9.75,9.75,10,10,10,10,10.5,11.25
